nama_produk,harga,gambar,link_produk
ASICS Gel-NYC Cream Cloud Grey,1800000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMTMwOC83MGZlMjRjYmNiYmMyZjNlZDJiMDRiNzA3OWJjYzJhOC5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/asics/asics-gel-nyc-cream-cloud-grey-1203a663-101-ka/111308?from=search
Nike Ebernon Low Premium 'White Lime Blast',400000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzg4OTY3L2VjZDRkMDM0MjkwNTM1NjZjYzZkOTJmODVhNmM3MTljLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-ebernon-low-premium-white-lime-blast-aq1774-100-ka/88967?from=search
Nike Killshot 2 Leather Sail Gum,550000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzg0MTcxLzM4NmNhYTAyYmZlZGRjOWU3YzdhMTdjNzJlYmRmOWU3LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-killshot-2-leather-sail-gum-432997-128-ka/84171?from=search
New Balance 2002R Gore-Tex Light Grey,2310000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzM2NDk4LzFhOTEyMDAwMzRhZTdkYjhlM2QwMGE5ZmM0YjFiYjkwLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/new-balance/new-balance-2002r-gore-tex-light-grey-m2002rxb-ka-2/36498?from=search
Onitsuka Tiger Serrano Black White,1620000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwODI5NC9jZDNhZTM2NmNkM2E1YjE1MWE2ZjQzZDczODZmYWZhMy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/onitsuka-tiger/onitsuka-tiger-serrano-black-white-1183b400-001-ka/108294?from=search
ASICS Gel Sonoma 15-50 Black Pepper,1360000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzEwOTcyNS9mOWJjMDcwYjkyMDlmMDQwZjAxOWIyZDBlMDQwZGI5MS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/asics/asics-gel-sonoma-15-50-black-pepper-1203a538-002-ka/109725?from=search
New Balance 2002R Protection Pack High Desert,1600000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzczNjg4L2UyMDM1ZWI4MzE4ZDg2YjFlNDIzMDZhY2NlNGZlODE5LnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/new-balance/new-balance-2002r-protection-pack-high-desert-m2002rdp-ka/73688?from=search
Puma Palermo Vintage Magenta Gleam,1290000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMjI2Mi80Yjc5OGFlN2JjYzNkNWVjZGIzYWNkNjk5YTZhMWI2ZS5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/puma/puma-palermo-vintage-magenta-gleam-396841-07-ka/112262?from=search
Nike Flight Legacy Wolf Grey Mystic Navy,700000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzg5MDk2LzA1MGMxY2M1MDI5ZWE2MmU1ZDRhM2IwOGY1MWQxNTZlLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-flight-legacy-wolf-grey-mystic-navy-bq4212-001-ka-2/89096?from=search
New Balance 1906R Black Metallic Silver,1430000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzU5MzU3L2IyMTdmOTA1MDY0YzkzNmJkNjE2ZTY2ZWVjZjBlZmMyLmpwZWciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/new-balance/new-balance-1906r-black-metallic-silver-m1906rjb-ka/59357?from=search
Nike JA 1 Scratch EP White Turbo Green,1310000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzExMTk4Ny8zNjUwNzYyNmNkNDYyYjBjYzBlZDZiMzY3OWZmYWFlNy5wbmciLCJlZGl0cyI6eyJyZXNpemUiOnsid2lkdGgiOjQwMH0sIndlYnAiOnsicXVhbGl0eSI6NTB9fX0=,/sneakers/nike/nike-ja-1-scratch-ep-white-turbo-green-hj7929-100-ka/111987?from=search
Nike Air Max 1 Athletic Department Light Bone University Gold,1210000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzcyODA2LzdlOWY3NGNkOGY4YmYxNDE2ZjcwNTMxMDFiNDM2ZWRkLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-air-max-1-athletic-department-light-bone-university-gold-fn7487-133-ka/72806?from=search
Nike Dunk Low Summit White Malachite,1220000,https://d5ibtax54de3q.cloudfront.net/eyJidWNrZXQiOiJraWNrYXZlbnVlLWFzc2V0cyIsImtleSI6InByb2R1Y3RzLzc4MjIzL2E0ZTdmYzZjMGRjN2I5NDdjNjYxMzVjZjZjZGQzMTMyLnBuZyIsImVkaXRzIjp7InJlc2l6ZSI6eyJ3aWR0aCI6NDAwfSwid2VicCI6eyJxdWFsaXR5Ijo1MH19fQ==,/sneakers/nike/nike-dunk-low-summit-white-malachite-dv0831-107-ka/78223?from=search
